year,month,day,dayInYear,irradiance
2017,9,24,267,402.18
2017,9,25,268,400.74
2017,9,26,269,399.28
2017,9,27,270,397.81
2017,9,28,271,396.31
2017,9,29,272,394.8
2017,9,30,273,393.28
2017,10,1,274,391.74
2017,10,2,275,390.18
2017,10,3,276,388.62
2017,10,4,277,387.03
2017,10,5,278,385.44
2017,10,6,279,383.83
2017,10,7,280,382.21
2017,10,8,281,380.58
2017,10,9,282,378.94
2017,10,10,283,377.29
2017,10,11,284,375.63
2017,10,12,285,373.96
2017,10,13,286,372.28
2017,10,14,287,370.6
2017,10,15,288,368.91
2017,10,16,289,367.21
2017,10,17,290,365.51
2017,10,18,291,363.8
2017,10,19,292,362.1
2017,10,20,293,360.39
2017,10,21,294,358.68
2017,10,22,295,356.96
2017,10,23,296,355.25
2017,10,24,297,353.55
2017,10,25,298,351.84
2017,10,26,299,350.13
2017,10,27,300,348.44
2017,10,28,301,346.74
2017,10,29,302,345.05
2017,10,29,302,345.05
2017,10,30,303,343.37
2017,10,31,304,341.7
2017,11,1,305,340.04
2017,11,2,306,338.39
2017,11,3,307,336.75
2017,11,4,308,335.12
2017,11,5,309,333.51
2017,11,6,310,331.91
2017,11,7,311,330.32
2017,11,8,312,328.75
2017,11,9,313,327.21
2017,11,10,314,325.68
2017,11,11,315,324.16
2017,11,12,316,322.68
2017,11,13,317,321.21
2017,11,14,318,319.76
2017,11,15,319,318.34
2017,11,16,320,316.95
2017,11,17,321,315.58
2017,11,18,322,314.24
2017,11,19,323,312.92
2017,11,20,324,311.64
2017,11,21,325,310.39
2017,11,22,326,309.16
2017,11,23,327,307.97
2017,11,24,328,306.81
2017,11,25,329,305.69
2017,11,26,330,304.6
2017,11,27,331,303.55
2017,11,28,332,302.53
2017,11,29,333,301.55
2017,11,30,334,300.61
2017,12,1,335,299.71
2017,12,2,336,298.84
2017,12,3,337,298.02
2017,12,4,338,297.24
2017,12,5,339,296.5
2017,12,6,340,295.8
2017,12,7,341,295.15
2017,12,8,342,294.53
2017,12,9,343,293.97
2017,12,10,344,293.44
2017,12,11,345,292.97
2017,12,12,346,292.53
2017,12,13,347,292.15
2017,12,14,348,291.8
2017,12,15,349,291.51
2017,12,16,350,291.26
2017,12,17,351,291.06
2017,12,18,352,290.91
2017,12,19,353,290.8
2017,12,20,354,290.74
2017,12,21,355,290.73
2017,12,22,356,290.77
2017,12,23,357,290.85
2017,12,24,358,290.98
2017,12,25,359,291.16
2017,12,26,360,291.39
2017,12,27,361,291.66
2017,12,28,362,291.98
2017,12,29,363,292.35
2017,12,30,364,292.77
2017,12,31,365,293.23
2018,1,1,1,293.74
2018,1,2,2,294.29
2018,1,3,3,294.89
2018,1,4,4,295.53
2018,1,5,5,296.22
2018,1,6,6,296.95
2018,1,7,7,297.73
2018,1,8,8,298.55
2018,1,9,9,299.41
2018,1,10,10,300.31
2018,1,11,11,301.25
2018,1,12,12,302.24
2018,1,13,13,303.26
2018,1,14,14,304.32
2018,1,15,15,305.42
2018,1,16,16,306.56
2018,1,17,17,307.73
2018,1,18,18,308.94
2018,1,19,19,310.19
2018,1,20,20,311.47
2018,1,21,21,312.78
2018,1,22,22,314.12
2018,1,23,23,315.49
2018,1,24,24,316.9
2018,1,25,25,318.33
2018,1,26,26,319.79
2018,1,27,27,321.28
2018,1,28,28,322.79
2018,1,29,29,324.33
2018,1,30,30,325.89
2018,1,31,31,327.48
2018,2,1,32,329.08
2018,2,2,33,330.71
2018,2,3,34,332.35
2018,2,4,35,334.02
2018,2,5,36,335.7
2018,2,6,37,337.4
2018,2,7,38,339.11
2018,2,8,39,340.83
2018,2,9,40,342.57
2018,2,10,41,344.32
2018,2,11,42,346.08
2018,2,12,43,347.85
2018,2,13,44,349.63
2018,2,14,45,351.41
2018,2,15,46,353.2
2018,2,16,47,355
2018,2,17,48,356.8
2018,2,18,49,358.6
2018,2,19,50,360.4
2018,2,20,51,362.21
2018,2,21,52,364.01
2018,2,22,53,365.81
2018,2,23,54,367.61
2018,2,24,55,369.41
2018,2,25,56,371.21
2018,2,26,57,372.99
2018,2,27,58,374.78
2018,2,28,59,376.55
2018,3,1,60,378.32
2018,3,2,61,380.08
2018,3,3,62,381.83
2018,3,4,63,383.57
2018,3,5,64,385.29
2018,3,6,65,387.01
2018,3,7,66,388.71
2018,3,8,67,390.4
2018,3,9,68,392.08
2018,3,10,69,393.74
2018,3,11,70,395.39
2018,3,12,71,397.02
2018,3,13,72,398.63
2018,3,14,73,400.23
2018,3,15,74,401.81
2018,3,16,75,403.37
2018,3,17,76,404.91
2018,3,18,77,406.43
2018,3,19,78,407.94
2018,3,20,79,409.42
2018,3,21,80,410.88
2018,3,22,81,412.33
2018,3,23,82,413.75
2018,3,24,83,415.15
2018,3,26,85,417.88
2018,3,27,86,419.21
2018,3,28,87,420.52
2018,3,29,88,421.81
2018,3,30,89,423.07
2018,3,31,90,424.31
2018,4,1,91,425.53
2018,4,2,92,426.72
2018,4,3,93,427.89
2018,4,4,94,429.04
2018,4,5,95,430.16
2018,4,6,96,431.26
2018,4,7,97,432.33
2018,4,8,98,433.38
2018,4,9,99,434.4
2018,4,10,100,435.41
2018,4,11,101,436.38
2018,4,12,102,437.34
2018,4,13,103,438.27
2018,4,14,104,439.17
2018,4,15,105,440.05
2018,4,16,106,440.91
2018,4,17,107,441.75
2018,4,18,108,442.56
2018,4,19,109,443.35
2018,4,20,110,444.11
2018,4,21,111,444.85
2018,4,22,112,445.57
2018,4,23,113,446.27
2018,4,24,114,446.95
2018,4,25,115,447.6
2018,4,26,116,448.23
2018,4,27,117,448.85
2018,4,28,118,449.44
2018,4,29,119,450
2018,4,30,120,450.55
2018,5,1,121,451.08
2018,5,2,122,451.59
2018,5,3,123,452.08
2018,5,4,124,452.55
2018,5,5,125,453
2018,5,6,126,453.43
2018,5,7,127,453.85
2018,5,8,128,454.25
2018,5,9,129,454.62
2018,5,10,130,454.99
2018,5,11,131,455.33
2018,5,12,132,455.66
2018,5,13,133,455.98
2018,5,14,134,456.27
2018,5,15,135,456.56
2018,5,16,136,456.82
2018,5,17,137,457.08
2018,5,18,138,457.32
2018,5,19,139,457.54
2018,5,20,140,457.75
2018,5,21,141,457.95
2018,5,22,142,458.14
2018,5,23,143,458.32
2018,5,24,144,458.48
2018,5,25,145,458.63
2018,5,26,146,458.77
2018,5,27,147,458.9
2018,5,28,148,459.02
2018,5,29,149,459.13
2018,5,30,150,459.22
2018,5,31,151,459.31
2018,6,1,152,459.39
2018,6,2,153,459.47
2018,6,3,154,459.53
2018,6,4,155,459.58
2018,6,5,156,459.63
2018,6,6,157,459.67
2018,6,7,158,459.7
2018,6,8,159,459.72
2018,6,9,160,459.74
2018,6,10,161,459.75
2018,6,11,162,459.75
2018,6,12,163,459.74
2018,6,13,164,459.73
2018,6,14,165,459.72
2018,6,15,166,459.69
2018,6,16,167,459.67
2018,6,17,168,459.63
2018,6,18,169,459.59
2018,6,19,170,459.54
2018,6,20,171,459.49
2018,6,21,172,459.43
2018,6,22,173,459.37
2018,6,23,174,459.3
2018,6,24,175,459.23
2018,6,25,176,459.15
2018,6,26,177,459.06
2018,6,27,178,458.97
2018,6,28,179,458.88
2018,6,29,180,458.77
2018,6,30,181,458.67
2018,7,1,182,458.55
2018,7,2,183,458.43
2018,7,3,184,458.31
2018,7,4,185,458.17
2018,7,5,186,458.04
2018,7,6,187,457.89
2018,7,7,188,457.74
2018,7,8,189,457.58
2018,7,9,190,457.41
2018,7,10,191,457.24
2018,7,11,192,457.06
2018,7,12,193,456.87
2018,7,13,194,456.68
2018,7,14,195,456.47
2018,7,15,196,456.26
2018,7,16,197,456.04
2018,7,17,198,455.81
2018,7,18,199,455.56
2018,7,19,200,455.32
2018,7,20,201,455.06
2018,7,21,202,454.79
2018,7,22,203,454.51
2018,7,23,204,454.21
2018,7,24,205,453.91
2018,7,25,206,453.6
2018,7,26,207,453.27
2018,7,27,208,452.94
2018,7,28,209,452.59
2018,7,29,210,452.23
2018,7,30,211,451.85
2018,7,31,212,451.46
2018,8,1,213,451.06
2018,8,2,214,450.65
2018,8,3,215,450.22
2018,8,4,216,449.77
2018,8,5,217,449.31
2018,8,6,218,448.84
2018,8,7,219,448.35
2018,8,8,220,447.84
2018,8,9,221,447.32
2018,8,10,222,446.78
2018,8,11,223,446.23
2018,8,12,224,445.65
2018,8,13,225,445.06
2018,8,14,226,444.46
2018,8,15,227,443.83
2018,8,16,228,443.19
2018,8,17,229,442.53
2018,8,18,230,441.85
2018,8,19,231,441.15
2018,8,20,232,440.44
2018,8,21,233,439.7
2018,8,22,234,438.94
2018,8,23,235,438.17
2018,8,24,236,437.37
2018,8,25,237,436.56
2018,8,26,238,435.73
2018,8,27,239,434.87
2018,8,28,240,433.99
2018,8,29,241,433.1
2018,8,30,242,432.18
2018,8,31,243,431.25
2018,9,1,244,430.29
2018,9,2,245,429.31
2018,9,3,246,428.31
2018,9,4,247,427.29
2018,9,5,248,426.25
2018,9,6,249,425.19
2018,9,7,250,424.1
2018,9,8,251,423
2018,9,9,252,421.88
2018,9,10,253,420.73
2018,9,11,254,419.56
2018,9,12,255,418.38
2018,9,13,256,417.17
2018,9,14,257,415.94
2018,9,15,258,414.69
2018,9,16,259,413.43
2018,9,17,260,412.14
2018,9,18,261,410.83
2018,9,19,262,409.5
2018,9,20,263,408.16
2018,9,21,264,406.79
2018,9,22,265,405.41
2018,9,23,266,404.01
