Year,Month,Day,Day in Year,Extraterrestrial Irradiance,Irradiance (W/m2),Irradiation (kJ/m2),Irradiation (Wh/m2)
2017,9,24,267,1359.35,402.18,34748.67,9652.41
2017,9,25,268,1360.13,400.74,34624.04,9617.79
2017,9,26,269,1360.91,399.28,34497.93,9582.76
2017,9,27,270,1361.69,397.81,34370.35,9547.32
2017,9,28,271,1362.47,396.31,34241.35,9511.49
2017,9,29,272,1363.25,394.8,34110.97,9475.27
2017,9,30,273,1364.04,393.28,33979.23,9438.68
2017,10,1,274,1364.82,391.74,33846.19,9401.72
2017,10,2,275,1365.61,390.18,33711.88,9364.41
2017,10,3,276,1366.39,388.62,33576.34,9326.76
2017,10,4,277,1367.18,387.03,33439.64,9288.79
2017,10,5,278,1367.97,385.44,33301.8,9250.5
2017,10,6,279,1368.75,383.83,33162.89,9211.91
2017,10,7,280,1369.54,382.21,33022.96,9173.04
2017,10,8,281,1370.32,380.58,32882.05,9133.9
2017,10,9,282,1371.11,378.94,32740.22,9094.51
2017,10,10,283,1371.89,377.29,32597.54,9054.87
2017,10,11,284,1372.67,375.63,32454.06,9015.02
2017,10,12,285,1373.45,373.96,32309.84,8974.96
2017,10,13,286,1374.23,372.28,32164.95,8934.71
2017,10,14,287,1375,370.6,32019.45,8894.29
2017,10,15,288,1375.77,368.91,31873.4,8853.72
2017,10,16,289,1376.54,367.21,31726.88,8813.02
2017,10,17,290,1377.31,365.51,31579.95,8772.21
2017,10,18,291,1378.08,363.8,31432.68,8731.3
2017,10,19,292,1378.84,362.1,31285.16,8690.32
2017,10,20,293,1379.6,360.39,31137.45,8649.29
2017,10,21,294,1380.35,358.68,30989.63,8608.23
2017,10,22,295,1381.1,356.96,30841.78,8567.16
2017,10,23,296,1381.85,355.25,30693.97,8526.1
2017,10,24,297,1382.59,353.55,30546.29,8485.08
2017,10,25,298,1383.32,351.84,30398.82,8444.12
2017,10,26,299,1384.06,350.13,30251.64,8403.23
2017,10,27,300,1384.78,348.44,30104.84,8362.45
2017,10,28,301,1385.51,346.74,29958.5,8321.8
2017,10,29,302,1386.22,345.05,29812.7,8281.31
2017,10,29,302,1386.22,345.05,29812.7,8281.31
2017,10,30,303,1386.93,343.37,29667.54,8240.98
2017,10,31,304,1387.64,341.7,29523.11,8200.86
2017,11,1,305,1388.34,340.04,29379.48,8160.97
2017,11,2,306,1389.03,338.39,29236.76,8121.32
2017,11,3,307,1389.71,336.75,29095.03,8081.95
2017,11,4,308,1390.39,335.12,28954.38,8042.88
2017,11,5,309,1391.06,333.51,28814.9,8004.14
2017,11,6,310,1391.73,331.91,28676.69,7965.75
2017,11,7,311,1392.39,330.32,28539.83,7927.73
2017,11,8,312,1393.04,328.75,28404.43,7890.12
2017,11,9,313,1393.68,327.21,28270.56,7852.93
2017,11,10,314,1394.31,325.68,28138.33,7816.2
2017,11,11,315,1394.94,324.16,28007.82,7779.95
2017,11,12,316,1395.56,322.68,27879.12,7744.2
2017,11,13,317,1396.17,321.21,27752.33,7708.98
2017,11,14,318,1396.77,319.76,27627.54,7674.32
2017,11,15,319,1397.36,318.34,27504.83,7640.23
2017,11,16,320,1397.95,316.95,27384.3,7606.75
2017,11,17,321,1398.52,315.58,27266.03,7573.9
2017,11,18,322,1399.08,314.24,27150.12,7541.7
2017,11,19,323,1399.64,312.92,27036.64,7510.18
2017,11,20,324,1400.19,311.64,26925.69,7479.36
2017,11,21,325,1400.72,310.39,26817.34,7449.26
2017,11,22,326,1401.25,309.16,26711.68,7419.91
2017,11,23,327,1401.76,307.97,26608.79,7391.33
2017,11,24,328,1402.27,306.81,26508.76,7363.54
2017,11,25,329,1402.76,305.69,26411.65,7336.57
2017,11,26,330,1403.25,304.6,26317.55,7310.43
2017,11,27,331,1403.72,303.55,26226.53,7285.15
2017,11,28,332,1404.19,302.53,26138.66,7260.74
2017,11,29,333,1404.64,301.55,26054.02,7237.23
2017,11,30,334,1405.08,300.61,25972.67,7214.63
2017,12,1,335,1405.51,299.71,25894.67,7192.96
2017,12,2,336,1405.93,298.84,25820.09,7172.25
2017,12,3,337,1406.33,298.02,25749,7152.5
2017,12,4,338,1406.73,297.24,25681.46,7133.74
2017,12,5,339,1407.11,296.5,25617.51,7115.97
2017,12,6,340,1407.48,295.8,25557.21,7099.22
2017,12,7,341,1407.84,295.15,25500.62,7083.5
2017,12,8,342,1408.19,294.53,25447.78,7068.83
2017,12,9,343,1408.52,293.97,25398.73,7055.2
2017,12,10,344,1408.85,293.44,25353.53,7042.65
2017,12,11,345,1409.16,292.97,25312.22,7031.17
2017,12,12,346,1409.45,292.53,25274.82,7020.78
2017,12,13,347,1409.74,292.15,25241.37,7011.49
2017,12,14,348,1410.01,291.8,25211.91,7003.31
2017,12,15,349,1410.27,291.51,25186.45,6996.24
2017,12,16,350,1410.52,291.26,25165.04,6990.29
2017,12,17,351,1410.75,291.06,25147.68,6985.47
2017,12,18,352,1410.97,290.91,25134.4,6981.78
2017,12,19,353,1411.18,290.8,25125.2,6979.22
2017,12,20,354,1411.38,290.74,25120.11,6977.81
2017,12,21,355,1411.56,290.73,25119.14,6977.54
2017,12,22,356,1411.73,290.77,25122.28,6978.41
2017,12,23,357,1411.88,290.85,25129.54,6980.43
2017,12,24,358,1412.03,290.98,25140.91,6983.59
2017,12,25,359,1412.16,291.16,25156.4,6987.89
2017,12,26,360,1412.27,291.39,25175.99,6993.33
2017,12,27,361,1412.37,291.66,25199.68,6999.91
2017,12,28,362,1412.46,291.98,25227.45,7007.62
2017,12,29,363,1412.54,292.35,25259.28,7016.47
2017,12,30,364,1412.6,292.77,25295.14,7026.43
2017,12,31,365,1412.65,293.23,25335.03,7037.51
2018,1,1,1,1412.69,293.74,25379.02,7049.73
2018,1,2,2,1412.71,294.29,25426.79,7063
2018,1,3,3,1412.71,294.89,25478.49,7077.36
2018,1,4,4,1412.7,295.53,25534.07,7092.8
2018,1,5,5,1412.68,296.22,25593.5,7109.31
2018,1,6,6,1412.64,296.95,25656.74,7126.87
2018,1,7,7,1412.6,297.73,25723.73,7145.48
2018,1,8,8,1412.53,298.55,25794.44,7165.12
2018,1,9,9,1412.46,299.41,25868.8,7185.78
2018,1,10,10,1412.37,300.31,25946.76,7207.43
2018,1,11,11,1412.26,301.25,26028.27,7230.07
2018,1,12,12,1412.15,302.24,26113.26,7253.68
2018,1,13,13,1412.02,303.26,26201.68,7278.25
2018,1,14,14,1411.87,304.32,26293.46,7303.74
2018,1,15,15,1411.72,305.42,26388.53,7330.15
2018,1,16,16,1411.55,306.56,26486.82,7357.45
2018,1,17,17,1411.36,307.73,26588.26,7385.63
2018,1,18,18,1411.17,308.94,26692.77,7414.66
2018,1,19,19,1410.96,310.19,26800.28,7444.52
2018,1,20,20,1410.74,311.47,26910.71,7475.2
2018,1,21,21,1410.5,312.78,27023.98,7506.66
2018,1,22,22,1410.25,314.12,27140,7538.89
2018,1,23,23,1409.99,315.49,27258.7,7571.86
2018,1,24,24,1409.72,316.9,27379.99,7605.55
2018,1,25,25,1409.43,318.33,27503.78,7639.94
2018,1,26,26,1409.13,319.79,27629.98,7674.99
2018,1,27,27,1408.82,321.28,27758.5,7710.69
2018,1,28,28,1408.5,322.79,27889.26,7747.02
2018,1,29,29,1408.16,324.33,28022.15,7783.93
2018,1,30,30,1407.81,325.89,28157.09,7821.41
2018,1,31,31,1407.45,327.48,28293.99,7859.44
2018,2,1,32,1407.08,329.08,28432.74,7897.98
2018,2,2,33,1406.7,330.71,28573.26,7937.02
2018,2,3,34,1406.3,332.35,28715.44,7976.51
2018,2,4,35,1405.89,334.02,28859.2,8016.44
