year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
2018,31,28,38,83,195,235,322,337,250,99,47,30
2017,70.9,12.3,112.4,19.1,105.4,212.9,449.1,283.2,266.9,259.7,19.4,47.5
2016,96.9,4.2,24.7,104.5,249,95.1,280.4,534.5,178.5,45,9.3,9
2015,25.6,12.5,59.4,21.6,74.2,241.1,96.8,354.2,345.4,99.7,158,31.5
2014,0.7,16.1,68.6,170.4,106.1,221.7,357.3,314.7,237.3,119.4,36.5,11.8
2013,13.8,17.7,46.1,23.3,242.5,216.7,305.9,541.4,374.3,61.2,69.6,22.2
2012,20.3,16.5,16.9,31.8,387.7,268.9,388.3,478.1,54.7,77.5,34.8,25.7
2011,9.3,17.5,105.8,42,149,395.5,254.4,313.2,247.6,177.6,31.8,51.5
2010,80.9,8.1,5.8,55.6,149.7,175.4,280.4,274.4,171.8,24.9,0.6,11.6
2009,4.9,8,49.1,74.3,229,242.4,550.5,215.7,154.6,78.8,1.2,3.6
2008,27,14,20,122,184,234,424,305,199,469,259,11
2007,3,25,29,98,118,211,286,330,388,145,5,21
2006,20,25,31,18,140,97,247,354,183,28,116,1
2005,11,36,27,33,221,278,278,377,366,18,92,27
2004,6,29,45,161,335,229,366,247,107,8,24,28
2003,41,37,13,61,282,274,243,375,251,13,4,6
2002,9,24,11,59,214,240,262,202,179,128,51,60
